pci.bus_id, memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W], temperature.gpu, pstate, timestamp
00000000:1A:00.0, 2402 MiB, 6 %, 84 %, 170.17 W, 52, P2, 2024/07/18 17:10:34.588
00000000:1B:00.0, 2402 MiB, 6 %, 73 %, 193.41 W, 60, P2, 2024/07/18 17:10:34.649
00000000:21:00.0, 2542 MiB, 7 %, 66 %, 182.69 W, 58, P2, 2024/07/18 17:10:34.701
00000000:24:00.0, 2674 MiB, 4 %, 86 %, 201.81 W, 61, P2, 2024/07/18 17:10:34.784
00000000:1A:00.0, 2402 MiB, 7 %, 69 %, 169.48 W, 52, P2, 2024/07/18 17:10:39.841
00000000:1B:00.0, 2402 MiB, 4 %, 80 %, 190.48 W, 60, P2, 2024/07/18 17:10:39.930
00000000:21:00.0, 2542 MiB, 8 %, 73 %, 181.39 W, 58, P2, 2024/07/18 17:10:39.986
00000000:24:00.0, 2674 MiB, 7 %, 81 %, 202.65 W, 61, P2, 2024/07/18 17:10:40.036
00000000:1A:00.0, 2402 MiB, 7 %, 70 %, 169.11 W, 52, P2, 2024/07/18 17:10:45.087
00000000:1B:00.0, 2402 MiB, 3 %, 83 %, 190.90 W, 60, P2, 2024/07/18 17:10:45.191
00000000:21:00.0, 2542 MiB, 7 %, 51 %, 179.46 W, 58, P2, 2024/07/18 17:10:45.254
00000000:24:00.0, 2674 MiB, 7 %, 80 %, 200.90 W, 60, P2, 2024/07/18 17:10:45.305
nohup: ignoring input
pci.bus_id, memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W], temperature.gpu, pstate, timestamp
00000000:1A:00.0, 2402 MiB, 7 %, 81 %, 171.21 W, 52, P2, 2024/07/18 17:11:19.213
00000000:1B:00.0, 2402 MiB, 8 %, 79 %, 192.12 W, 60, P2, 2024/07/18 17:11:19.302
00000000:21:00.0, 2542 MiB, 8 %, 69 %, 182.16 W, 58, P2, 2024/07/18 17:11:19.390
00000000:24:00.0, 2674 MiB, 6 %, 93 %, 203.45 W, 61, P2, 2024/07/18 17:11:19.454
00000000:1A:00.0, 2402 MiB, 7 %, 70 %, 171.32 W, 52, P2, 2024/07/18 17:11:24.505
00000000:1B:00.0, 2402 MiB, 6 %, 93 %, 194.25 W, 60, P2, 2024/07/18 17:11:24.587
00000000:21:00.0, 2542 MiB, 8 %, 67 %, 182.10 W, 58, P2, 2024/07/18 17:11:24.640
00000000:24:00.0, 2674 MiB, 7 %, 75 %, 202.97 W, 60, P2, 2024/07/18 17:11:24.691
00000000:1A:00.0, 2402 MiB, 8 %, 71 %, 170.84 W, 52, P2, 2024/07/18 17:11:29.742
00000000:1B:00.0, 2402 MiB, 7 %, 71 %, 191.82 W, 60, P2, 2024/07/18 17:11:29.824
00000000:21:00.0, 2542 MiB, 6 %, 85 %, 181.34 W, 58, P2, 2024/07/18 17:11:29.880
00000000:24:00.0, 2674 MiB, 8 %, 71 %, 201.94 W, 61, P2, 2024/07/18 17:11:29.929
